"programming_exp","cli_exp","vcs_exp","md_exp","r_exp","web_exp","os","washington_born","pet_preference","coffee_cups","seahawks_fan","info_interest"
4,2,1,0,0,2,"Mac OS X","No","dog person",0,"No","Yes"
3,0,0,0,0,1,"Mac OS X","No","dog person",1,"Yes","Yes"
4,1,1,0,0,1,"Windows","Yes","dog person",2,"YES!!!","N/A"
4,0,0,0,0,0,"Windows","No","Other I really don't know",1,"No","Not sure"
3,0,0,0,0,0,"Windows","Yes","cat person",0,"Yes","No"
3,2,1,0,0,2,"Mac OS X","","dog person",3,"No","Yes"
3,0,0,0,0,0,"Windows","Yes","cat person, dog person, fish person, bird person, Other All animals are amazing. Besides spiders or anything with too many legs.",0,"No","Yes"
4,1,1,0,1,1,"Mac OS X","No","dog person",1,"No","Not sure"
4,1,1,0,0,1,"Mac OS X","Yes","cat person, dog person, bird person, Other People person",0,"Yes","Yes"
3,1,0,0,0,1,"Mac OS X","No","dog person",0.3,"YES!!!","Not sure"
2,0,0,0,0,1,"Windows","Yes","dog person",0,"YES!!!","Not sure"
4,1,0,0,0,2,"Mac OS X","No","dog person, Other Java Person",1,"Yes","Yes"
1,0,0,0,0,0,"Other: ","Yes","dog person",1,"YES!!!","No"
4,0,0,0,0,2,"Windows","No","Other porcupine",0,"No","Yes"
4,0,1,0,0,1,"Windows","Yes","cat person, dog person",0.25,"YES!!!","Yes"
2,0,0,0,0,0,"Mac OS X","No","cat person, dog person",1,"No","No"
1,0,0,0,0,0,"Mac OS X","No","dog person",1,"Yes","No"
4,1,1,1,0,2,"Windows","No","",0,"No","Yes"
4,1,1,0,0,0,"Mac OS X","Yes","cat person",1,"YES!!!","Yes"
3,1,1,0,0,2,"Mac OS X","Yes","cat person, dog person",0.15,"YES!!!","Yes"
5,2,2,0,0,3,"Windows","No","dog person",0,"Yes","Yes"
3,1,0,0,0,1,"Windows","Yes","dog person",0,"Yes","Yes"
1,0,0,0,0,0,"Mac OS X","Yes","dog person",0,"Yes","Yes"
3,1,1,0,0,0,"Windows","No","cat person",1,"YES!!!","Not sure"
3,1,1,0,0,1,"Windows","Yes","dog person",0.3,"YES!!!","Yes"
4,0,0,0,0,0,"Mac OS X","No","dog person",0,"Yes","N/A"
1,0,0,0,1,0,"Windows","Yes","dog person",3,"No","No"
3,0,0,0,0,0,"Mac OS X","Yes","dog person",1,"No","No"
4,2,0,0,2,0,"Windows","No","cat person, dog person, fish person",0,"No","Not sure"
2,0,0,0,0,2,"Mac OS X","Yes","dog person",1,"No","Yes"
1,1,0,0,1,1,"Mac OS X","Yes","dog person",2,"Yes","Not sure"
5,2,2,1,0,2,"Windows","No","cat person, dog person, fish person, bird person",0,"Yes","Yes"
1,0,0,0,0,0,"Mac OS X","Yes","cat person, dog person",2,"No","Not sure"
4,0,0,0,0,0,"Windows","Yes","dog person",3,"No","Yes"
4,0,0,0,0,0,"Windows","No","dog person",0,"YES!!!","Yes"
4,1,1,0,0,1,"Windows","Yes","dog person",1,"YES!!!","Not sure"
4,1,1,0,0,2,"Windows","Yes","cat person, dog person, fish person, Other hamster",1,"Yes","Yes"
3,1,1,1,0,1,"Mac OS X","No","cat person",2,"YES!!!","Yes"
5,1,1,0,0,2,"Windows","No","dog person, Other Penguin",0.1,"No","Yes"
3,1,0,0,0,0,"Windows","Yes","dog person",1,"Yes","No"
1,0,0,0,0,1,"Mac OS X","Yes","cat person",3,"Yes","No"
2,0,0,0,1,0,"Windows","No","dog person",2,"YES!!!","No"
3,0,0,0,0,0,"Mac OS X","Yes","dog person",1,"YES!!!","Yes"
4,0,0,0,0,0,"Windows","No","dog person",2,"No","No"
4,1,1,0,0,0,"Linux (any)","No","Other horse person",0,"No","Not sure"
3,0,0,0,0,0,"Windows","No","dog person",0,"YES!!!","Not sure"
3,0,0,0,0,1,"Windows","No","cat person",1,"YES!!!","Yes"
5,1,0,0,0,2,"Windows","No","cat person",0,"No","Yes"
4,1,1,0,0,1,"Windows","No","cat person",0,"Yes","Not sure"
5,2,0,0,0,1,"Windows","Yes","cat person, dog person, fish person, bird person, Other I love pretty much all animals ",2,"Yes","Not sure"
4,1,0,0,0,1,"Other: I use both Win & Linux","No","cat person",1,"No","Yes"
2,1,1,0,0,2,"Mac OS X","Yes","dog person",1,"No","Not sure"
5,1,1,0,0,3,"Mac OS X","Yes","dog person",1,"YES!!!","Not sure"
4,1,1,0,1,1,"Mac OS X","No","cat person, dog person",1,"Yes","Yes"
4,0,0,0,0,0,"Windows","Yes","cat person, dog person",0,"Yes","Yes"
5,2,3,2,2,3,"Mac OS X","Yes","dog person",0,"YES!!!","No"
4,0,0,0,0,0,"Windows","No","dog person",1,"YES!!!","Yes"
4,1,0,0,0,0,"Mac OS X","No","dog person",0.333,"YES!!!","Not sure"
4,1,0,0,0,0,"Mac OS X","Yes","dog person",0,"YES!!!","Yes"
3,0,0,0,0,0,"Windows","Yes","cat person",0,"Yes","No"
5,0,0,0,1,0,"Mac OS X","No","dog person",2,"YES!!!","Not sure"
